2020-09-14 21:54:18.941 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
},Server stats: [[Server:DESKTOP-P8HKM53:8001;	Zone:defaultZone;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 08:00:00 CST 1970;	First connection made: Thu Jan 01 08:00:00 CST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@1b0acd2c
>2020-09-14 21:55:13.646 [PollingServerListUpdater-0] INFO  [com.netflix.config.ChainedDynamicProperty:115] [,] - Flipping property: eureka-client-homepage-course.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
>2020-09-14 21:55:14.134 [http-nio-8002-exec-2] INFO  [com.swust.homepage.filter.UserFilter:18] [b20ff5b3d03f80b7,267e5452c37c12a1] - UserFilter--->/homepage-user/getUserCourses
>2020-09-14 21:56:10.359 [http-nio-8002-exec-3] INFO  [com.swust.homepage.filter.UserFilter:18] [ccc804f4ff033def,c12371a0c7f2104b] - UserFilter--->/homepage-user/getUserCourses
>2020-09-14 21:59:26.467 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:04:26.470 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:09:26.474 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:14:26.481 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:19:26.488 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:24:26.490 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:27:44.491 [http-nio-8002-exec-5] INFO  [com.swust.homepage.filter.UserFilter:18] [e32693b2e4211c03,f91f7f7a3525e907] - UserFilter--->/homepage-user/getUserCourses
>2020-09-14 22:28:39.983 [http-nio-8002-exec-6] INFO  [com.swust.homepage.filter.UserFilter:18] [b583d43fa4a41b39,e7cd48d9714fad67] - UserFilter--->/homepage-user/getUserCourses
>2020-09-14 22:29:26.494 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:34:26.501 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>
