2020-09-14 21:52:50.815 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:55:56.714 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 21:56:56.714 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 21:57:56.715 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 21:58:56.715 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 21:59:56.716 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:00:56.717 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 1ms
>2020-09-14 22:01:56.718 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:02:56.603 [Eureka-PeerNodesUpdater] WARN  [com.netflix.eureka.cluster.PeerEurekaNodes:155] [,] - The replica size seems to be empty. Check the route 53 DNS Registry
>2020-09-14 22:02:56.719 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 22:03:56.720 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 1ms
